"","country","region","continent","latitude","longitude","population","area_sq_mi","pop_density_per_sq_mi","net_migration","GDP_per_capita","HDI","gini_coefficient","consumer_price_index","gender_inequality_index","infant_mortality_per_1k","physicians_per_10k","pub_health_spend_pct_of_gdp","avg_years_of_education","pub_education_spend_pct_of_gdp","phones_per_1k","pct_of_internet_users","prison_pop_per_100k"
"1","Albania","Eastern Europe","Europe",41.153332,20.168331,3581655,28748,124.6,-4.93,4500,0.732765802641622,28.96,107.5972351,0.217395947424726,21.52,11.45,5.882328,9.255580902,3.268680096,71.2,60.1,158
"2","Algeria","Northern Africa","Africa",28.033886,1.659626,32930091,2381740,13.8,-0.39,6000,0.735623767134645,38.8166666666667,117.5218381,0.413117859270844,31,12.07,6.635026,7.611,4.33701992,78.1,18.09,162
"3","Andorra","Western Europe","Europe",42.546245,1.601554,71201,468,152.1,6.6,19000,0.844641908378314,29.0033333333333,106.4587666,0.0642524393710849,4.05,36.97,8.073646,9.58190918,3.088160038,497.2,95.9,38
"4","Argentina","Latin Amer. & Carib","South America",-38.416097,-63.616672,39921833,2766890,14.4,0.61,11200,0.835572018229568,43.57,110.448558066667,0.375609703713864,15.18,31.55,7.254919,9.834001245,5.137589931,220.4,64.7,147
"5","Armenia","C.W. Of Ind. States","Asia",40.069099,45.038189,2976372,29800,99.9,-6.47,3500,0.732982583044665,30.3,116.7987006,0.317574186259282,23.28,26.87,4.519753,10.87,2.250149965,195.7,46.3,164
"6","Australia","Oceania","Oceania",-25.274398,133.775136,20264082,7686850,2.6,3.98,29000,0.934958250222263,34.01,107.7894398,0.110130102956951,4.69,32.73,8.998704,12.96338081,5.110410213,565.5,84.56,130
"7","Austria","Western Europe","Europe",47.516231,14.550072,8192880,83870,97.7,2,30000,0.885027260021308,30.04,107.9506626,0.0528497601052286,4.66,48.3,11.03413,10.83443082,5.795760155,452.2,81,98
"8","Azerbaijan","C.W. Of Ind. States","Asia",40.143105,47.576927,7961619,86600,91.9,-4.9,3400,0.751139173537414,33.03,111.584763,0.303000336507894,81.74,34.32,5.579734,11.16,2.435640097,137.1,61,413
"9","Bahrain","Near East","Asia",25.930414,50.637772,698585,665,1050.5,1.05,16900,0.823921956812207,29.0033333333333,105.6452213,0.264862602546522,17.27,9.13,4.874988,9.419,2.679059982,281.3,91,275
"10","Bangladesh","Asia","Asia",23.684994,90.356331,147365352,144000,1023.4,-0.71,1900,0.57009997440545,32.12,126.4430232,0.503392282616762,62.6,3.56,3.727478,5.073080011,2.233839989,7.3,9.6,42
"11","Barbados","Latin Amer. & Carib","North America",13.193887,-59.543198,279912,431,649.5,-0.31,15700,0.785458412902638,44.77,116.4568031,0.357040191311004,12.5,18.11,6.780835,10.45693616,5.610380173,481.9,76.67,521
